,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Year
239,AL021926,            UNNAMED,19260808,1800,  , TS,48.0,-46.0,105,1926
240,AL021927,            UNNAMED,19270911,1800,  , TS,34.1,-20.0,80,1927
241,AL021928,            UNNAMED,19280817,1800, L, TS,39.2,-60.3,80,1928
242,AL021929,            UNNAMED,19291005,1800, L, TS,48.8,-63.6,135,1929
243,AL021930,            UNNAMED,19300917,1800, L, TS,38.2,-33.5,135,1930
244,AL021931,            UNNAMED,19310717,1800, L, TS,35.3,-82.3,60,1931
245,AL021932,            UNNAMED,19320815,1800, L, TS,34.5,-90.3,130,1932
246,AL021933,            UNNAMED,19330707,1800,  , TS,9.9,-42.5,95,1933
247,AL021934,            UNNAMED,19340717,1800,  , TS,50.0,-47.5,80,1934
248,AL021935,            UNNAMED,19350826,1800,  , TS,49.9,-56.0,115,1935
249,AL021936,            UNNAMED,19360622,1800,  , TS,25.0,-90.4,45,1936
250,AL021937,            UNNAMED,19370809,1800,  , TS,43.2,-59.7,55,1937
251,AL021938,            UNNAMED,19380809,1800,  , TS,19.2,-62.3,60,1938
252,AL021939,            UNNAMED,19390819,2300, L, TS,39.2,-63.9,65,1939
253,AL021940,            UNNAMED,19400810,2100, L, TS,35.7,-83.1,85,1940
254,AL021941,            UNNAMED,19410927,2200, L, TS,58.2,-66.0,110,1941
255,AL021942,            UNNAMED,19420823,1800, L, TS,37.0,-85.5,70,1942
256,AL021943,            UNNAMED,19430819,1800,  , TS,38.3,-60.5,50,1943
257,AL021944,            UNNAMED,19440727,1800,  , TS,17.2,-56.6,55,1944
258,AL021945,            UNNAMED,19450722,1800,  , TS,27.8,-90.0,35,1945
259,AL021946,            UNNAMED,19460710,1800, L, TS,46.5,-53.0,70,1946
260,AL021947,            UNNAMED,19470816,1800, L, TS,22.0,-75.5,95,1947
261,AL021948,            UNNAMED,19480711,1800, L, TS,35.8,-86.3,35,1948
262,AL021949,            UNNAMED,19490901,2300, L, TS,54.9,-17.0,115,1949
263,AL021950,              BAKER,19500901,1800, L, TS,37.0,-54.0,90,1950
264,AL021951,               ABLE,19510524,1800, L, TS,40.5,-58.7,80,1951
265,AL021952,               ABLE,19520903,1800, L, TS,48.5,-19.0,85,1952
266,AL021953,            UNNAMED,19530716,1800,  , TS,41.4,-68.6,45,1953
267,AL021954,            UNNAMED,19540625,1800,  , TS,49.5,-62.7,60,1954
268,AL021955,             CONNIE,19550815,1800, L, TS,45.4,-40.0,120,1955
269,AL021956,               ANNA,19560727,2100, L, TS,22.1,-92.5,75,1956
270,AL021957,             AUDREY,19570629,1800, L, TS,39.4,-80.9,110,1957
271,AL021958,              BECKY,19580817,1800,  , TS,42.5,-20.5,60,1958
272,AL021959,             BEULAH,19590619,1800,  , TS,23.0,-94.7,60,1959
273,AL021960,               ABBY,19600717,1800, L, TS,20.5,-55.8,70,1960
274,AL021961,              BETSY,19610912,1800,  , TS,54.8,-20.5,120,1961
